"Ativo","Data","roic","roe","roa","margem_liquida","margem_ebit","divida_liquida_ebitda","receita_liquida","ebit","deprec","deprec2","deprec3","deprec4","lucro_liquido","ativo_total","passivo_circulante","total_emprestimos_e_financiamentos","caixa_e_equivalentes","aplicacoes_financeiras","patrimonio_liquido","participacao_nao_controladora_acionistas","total_emprestimos_e_financiamentos_lp","capital_investido","ebitda","divida_bruta","divida_liquida"
"WEGE3<XBSP>","2T1997",13.046860025,18.631298177,9.709582858,12.611369258,14.495688559,"-",432570,62704,"-","-","-","-",54344,561847,138281000,59484,"-","-",290591,2212,79638,317200,"-",139122,-26728000
"WEGE3<XBSP>","3T1997",12.934994668,18.121626508,9.5904148813,12.282402261,14.075915245,"-",457036,64332,"-","-","-","-",55963,585324,144625000,66433,"-","-",307285,2483,81390,328250,"-",147823,-31059000
"WEGE3<XBSP>","4T1997",12.235356203,19.732893208,9.5917795973,12.582231013,13.731263785,-0.038755620579,465609,63934,26065.849,"-","-","-",58494,610773,169395000,97162,"-","-",295142,1743,93017,344873,89999.849,190179,-3488000
"WEGE3<XBSP>","1T1998",11.685446331,20.862352322,10.10233198,13.217400909,13.725125192,"-",488848,67095,"-","-","-","-",64490,639585,191211000,128204,"-","-",307720,1991,83367,378956,"-",211571,13949000
"WEGE3<XBSP>","2T1998",14.833909293,22.576344822,10.18471828,14.283109962,16.390808743,"-",499170,81818,"-","-","-","-",71118,700039,214022000,126879,"-","-",313728,2076,109352,364030,"-",236231,-12634999.999
"WEGE3<XBSP>","3T1998",14.919427791,23.481044852,10.861429441,15.280755353,17.224828209,"-",513561,88460,"-","-","-","-",78435,722520,233114000,156934,"-","-",333489,721,97217,391326,"-",254151,-863000
"WEGE3<XBSP>","4T1998",15.769643865,27.561495091,12.538084829,18.498660534,18.684270896,-0.00066888648776,527449,98550,37497,"-","-","-",97531,778197,266534000,184391,"-","-",353278,734,99115,412457,136047,283506,-91000
"WEGE3<XBSP>","1T1999",14.345319551,24.875235546,10.000283807,17.107100976,18.678809109,"-",535532,100031,"-","-","-","-",91734,916114,367630000,299963,"-","-",367460,834,115708,460223,"-",415671,27447000
"WEGE3<XBSP>","2T1999",14.36756743,24.748488805,9.5409113697,16.608485835,18.353732318,"-",560322,102840,"-","-","-","-",93320,975389,421569000,320564,"-","-",375285,742,109452,472414,"-",430016,28046000
"WEGE3<XBSP>","3T1999",14.276729758,22.730649538,9.0817848189,14.724593964,18.117412422,"-",604689,109554,"-","-","-","-",89122,980402,411266000,315615,"-","-",390849,860,102586,506458,"-",418201,39908000
"WEGE3<XBSP>","4T1999",13.441487459,19.993060256,8.7062606675,13.036806883,15.424792861,-0.080099183685,627600,96806,46766,"-","-","-",81997,939772,353029000,252403,"-","-",408627,610,99909,475334,143572,352312,-11500000
"WEGE3<XBSP>","1T2000",14.870161286,21.017536454,9.4537286931,13.701585784,15.997405409,"-",661376,105803,"-","-","-","-",90777,958553,352668000,258130,"-","-",430568,591,95150,469598,"-",353280,-41137000
"WEGE3<XBSP>","2T2000",17.261804021,23.146408058,9.809399773,14.239320085,16.698293563,"-",706677,118003,"-","-","-","-",100630,1025812,414036000,288228,"-","-",434491,246,91610,451181,"-",379838,-68985000
"WEGE3<XBSP>","3T2000",17.920960611,26.531983427,11.578107214,16.455520376,18.082456678,"-",734325,132784,"-","-","-","-",120861,1043668,372269000,242401,"-","-",455174,265,120612,489022,"-",363013,-61765000
"WEGE3<XBSP>","4T2000",20.302929389,26.908793056,10.486584051,15.688828769,20.209552766,-0.18273051203,799894,161655,43215,"-","-","-",125426,1196710,512275000,365259,"-","-",466119,249,121497,525502,204870,486756,-37436000
"WEGE3<XBSP>","1T2001",20.152648847,26.934697051,11.296160672,15.59967897,20.366944223,"-",857242,174594,"-","-","-","-",133589,1183827,468912000,350884,"-","-",496222,264,117995,571796,"-",468879,-25124000
"WEGE3<XBSP>","2T2001",22.451558805,29.337829375,11.75515952,16.4743562,21.201796148,"-",924200,195947,"-","-","-","-",152178,1295227,475904000,305511,"-","-",518699,276,202229,576018,"-",507740,-41076000
"WEGE3<XBSP>","3T2001",24.053399946,29.760209673,12.145508823,16.972021953,23.316863951,"-",1004895,234310,"-","-","-","-",170461,1404231,516816000,353716,"-","-",572777,307,213601,642922,"-",567317,-30892000
"WEGE3<XBSP>","4T2001",21.805744573,30.624981488,13.330203768,16.49001441,22.911788325,0.22317450506,1065936,244225,43738,"-","-","-",175683,1318607,445603000,258436,"-","-",573648,305,198068,739202,287963,456504,64266000
"WEGE3<XBSP>","1T2002",20.400158115,28.885103161,13.777657044,15.770164832,21.69073021,"-",1103121,239275,"-","-","-","-",173870,1262653,366992000,209491,"-","-",601939,323,191641,774119,"-",401132,70099000
"WEGE3<XBSP>","2T2002",19.550674997,28.644798064,13.361080937,15.929595767,21.173923912,"-",1128114,238866,"-","-","-","-",179613,1344981,409526000,199291,"-","-",627020,333,205745,806374,"-",405036,76664000
"WEGE3<XBSP>","3T2002",16.235602444,28.193652187,11.690586397,16.636172196,19.709410709,"-",1158680,228369,"-","-","-","-",192644,1648848,662704000,443701,"-","-",683309,391,193875,928352,"-",637576,136083000
"WEGE3<XBSP>","4T2002",17.282420296,31.764910986,12.478583521,17.196501809,18.708318188,0.39636703019,1282034,239847,49448,"-","-","-",220326,1766747,873281000,603780,"-","-",693651,401,92179,915954,289295,695959,114667000
"WEGE3<XBSP>","1T2003",19.763657573,34.558845614,15.392252545,18.700848468,19.990545098,"-",1415139,282894,"-","-","-","-",264477,1719326,755961000,529915,"-","-",765333,442,89432,944714,"-",619347,70781000.001
"WEGE3<XBSP>","2T2003",21.549328978,35.595793518,15.938620155,18.059564535,19.43088105,"-",1526781,296667,"-","-","-","-",275555,1729949,758430000,450806,"-","-",774182,432,86502,908614,"-",537308,23597000
"WEGE3<XBSP>","3T2003",18.440309625,34.268310459,16.359199139,17.821703493,18.722857185,"-",1635792,306267,"-","-","-","-",291375,1782031,639137000,397394,"-","-",850190,526,176643,1096165,"-",574037,129914000
"WEGE3<XBSP>","4T2003",19.83481568,35.728488268,16.013489378,18.179274685,19.547858526,0.31461084936,1694160,331172,57238,"-","-","-",307809,1923291,720373000,376521,"-","-",861426,592,223147,1101969,388410,599668,122198000
